Energy_MeV,Total_dEdx_MeV_per_cm,Mass_dEdx_MeV_cm2_per_g
79.6000,6.426653,6.426653
80.1000,6.395935,6.395935
81.1000,6.335564,6.335564
81.6000,6.305899,6.305899
82.6000,6.247579,6.247579
83.1000,6.218914,6.218914
84.1000,6.162541,6.162541
84.6000,6.134824,6.134824
85.6000,6.080302,6.080302
86.1000,6.053487,6.053487
87.1000,6.000724,6.000724
87.6000,5.974767,5.974767
88.6000,5.923679,5.923679
89.1000,5.898539,5.898539
90.1000,5.849046,5.849046
90.6000,5.824684,5.824684
91.6000,5.776712,5.776712
92.1000,5.753093,5.753093
93.1000,5.706572,5.706572
93.6000,5.683662,5.683662
94.6000,5.638526,5.638526
95.1000,5.616293,5.616293
96.1000,5.572481,5.572481
96.6000,5.550896,5.550896
97.6000,5.508350,5.508350
98.1000,5.487383,5.487383
99.1000,5.446048,5.446048
99.6000,5.425674,5.425674
100.6000,5.385499,5.385499
101.1000,5.365692,5.365692
102.1000,5.326628,5.326628
102.6000,5.307365,5.307365
103.6000,5.269366,5.269366
104.1000,5.250625,5.250625
105.1000,5.213648,5.213648
105.6000,5.195407,5.195407
106.6000,5.159411,5.159411
107.1000,5.141650,5.141650
108.1000,5.106596,5.106596
108.6000,5.089298,5.089298
109.6000,5.055148,5.055148
110.1000,5.038293,5.038293
111.1000,5.005014,5.005014
111.6000,4.988586,4.988586
112.6000,4.956144,4.956144
113.1000,4.940127,4.940127
114.1000,4.908491,4.908491
114.6000,4.892869,4.892869
115.6000,4.862008,4.862008
116.1000,4.846767,4.846767
117.1000,4.816654,4.816654
117.6000,4.801779,4.801779
118.6000,4.772387,4.772387
119.1000,4.757866,4.757866
120.1000,4.729168,4.729168
120.6000,4.714988,4.714988
121.6000,4.686960,4.686960
122.1000,4.673110,4.673110
123.1000,4.645729,4.645729
123.6000,4.632196,4.632196
124.6000,4.605440,4.605440
125.1000,4.592214,4.592214
126.1000,4.566061,4.566061
126.6000,4.553132,4.553132
127.6000,4.527562,4.527562
128.1000,4.514919,4.514919
129.1000,4.489913,4.489913
129.6000,4.477547,4.477547
130.6000,4.453086,4.453086
131.1000,4.440989,4.440989
132.1000,4.417055,4.417055
132.6000,4.405217,4.405217
133.6000,4.381794,4.381794
134.1000,4.370207,4.370207
135.1000,4.347278,4.347278
135.6000,4.335934,4.335934
136.6000,4.313484,4.313484
137.1000,4.302376,4.302376
138.1000,4.280389,4.280389
138.6000,4.269509,4.269509
139.6000,4.247972,4.247972
140.1000,4.237314,4.237314
141.1000,4.216212,4.216212
141.6000,4.205768,4.205768
142.6000,4.185090,4.185090
143.1000,4.174854,4.174854
144.1000,4.154586,4.154586
144.6000,4.144552,4.144552
145.6000,4.124681,4.124681
146.1000,4.114844,4.114844
147.1000,4.095360,4.095360
147.6000,4.085712,4.085712
148.6000,4.066603,4.066603
149.1000,4.057141,4.057141
150.1000,4.038396,4.038396
150.6000,4.029113,4.029113
151.6000,4.010723,4.010723
152.1000,4.001615,4.001615
153.1000,3.983568,3.983568
153.6000,3.974630,3.974630
154.6000,3.956918,3.956918
155.1000,3.948144,3.948144
156.1000,3.930758,3.930758
156.6000,3.922144,3.922144
157.6000,3.905074,3.905074
158.1000,3.896617,3.896617
159.1000,3.879855,3.879855
159.6000,3.871549,3.871549
160.6000,3.855087,3.855087
161.1000,3.846929,3.846929
162.1000,3.830759,3.830759
162.6000,3.822745,3.822745
163.6000,3.806858,3.806858
164.1000,3.798985,3.798985
165.1000,3.783375,3.783375
165.6000,3.775637,3.775637
166.6000,3.760297,3.760297
167.1000,3.752692,3.752692
168.1000,3.737614,3.737614
168.6000,3.730140,3.730140
169.6000,3.715317,3.715317
170.1000,3.707969,3.707969
171.1000,3.693396,3.693396
171.6000,3.686171,3.686171
172.6000,3.671841,3.671841
173.1000,3.664736,3.664736
174.1000,3.650644,3.650644
174.6000,3.643656,3.643656
175.6000,3.629795,3.629795
